date,home,away,side,line,model_prob,market_prob,edge,clv,odds,actual_total,won,push,profit
2022-04-14,PHI,NYR,UNDER,6.0,0.6653292722940312,0.4846158692312539,0.18071340306277728,18.071340306277726,2.0,4,True,False,100.0
2022-04-14,CBJ,MTL,OVER,6.5,0.5888875063640829,0.4930942155117578,0.09579329085232513,9.579329085232512,1.97,6,False,False,-100.0
2022-04-15,VAN,ARI,UNDER,6.0,0.616477298116292,0.4930942155117578,0.12338308260453423,12.338308260453424,1.97,8,False,False,-100.0
2022-04-15,COL,NJD,UNDER,6.5,0.4542380326365467,0.4524784507137848,0.0017595819227619325,0.17595819227619325,2.14,4,True,False,114.00000000000001
2022-04-15,CGY,VGK,UNDER,6.0,0.6057000386184039,0.46855306129142593,0.137146977326978,13.7146977326978,2.07,7,False,False,-100.0
2022-04-15,CHI,SJS,UNDER,6.0,0.6047682966764771,0.5273760929869528,0.07739220368952437,7.739220368952438,1.847,9,False,False,-100.0
2022-04-15,DAL,MIN,UNDER,6.0,0.5698805237709285,0.5073180630596352,0.06256246071129323,6.256246071129324,1.917,5,True,False,91.7
2022-04-15,NSH,EDM,OVER,6.5,0.510180385876263,0.47079206056269063,0.03938832531357239,3.938832531357239,2.06,4,False,False,-100.0
2022-04-15,PIT,NYI,UNDER,5.5,0.5538715285671871,0.47994087128465773,0.0739306572825294,7.39306572825294,2.02,9,False,False,-100.0
2022-04-15,CAR,DET,UNDER,6.5,0.5387120904040262,0.5122609662266345,0.026451124177391705,2.6451124177391705,1.9,3,True,False,89.99999999999999
2022-04-15,TBL,ANA,UNDER,6.0,0.6448873708193397,0.518094448617983,0.12679292220135663,12.679292220135663,1.877,7,False,False,-100.0
2022-04-15,BOS,OTT,UNDER,6.0,0.6893832566015192,0.5073180630596352,0.182065193541884,18.2065193541884,1.917,5,True,False,91.7
2022-04-15,BUF,STL,OVER,6.5,0.566370604078786,0.5026236956915097,0.06374690838727637,6.374690838727637,1.934,8,True,False,93.39999999999999
2022-04-15,TOR,WSH,OVER,7.0,0.47301704254890603,0.4413627516319388,0.031654290916967254,3.1654290916967254,2.19,10,True,False,119.0
2022-04-16,EDM,VGK,UNDER,7.0,0.6824794442226692,0.5520317528664249,0.13044769135624423,13.044769135624424,1.769,4,True,False,76.89999999999999
2022-04-16,STL,MIN,OVER,6.5,0.6098364863426112,0.4953756681379324,0.11446081820467885,11.446081820467885,1.961,11,True,False,96.10000000000001
2022-04-16,BOS,PIT,UNDER,6.0,0.6443926622272315,0.518094448617983,0.12629821360924842,12.629821360924842,1.877,3,True,False,87.7
2022-04-16,NYR,DET,OVER,6.5,0.4710611823005797,0.4652439506655315,0.0058172316350482145,0.5817231635048214,2.08,4,False,False,-100.0
2022-04-16,NSH,CHI,UNDER,6.0,0.49795775365159944,0.4810860999793133,0.016871653672286158,1.6871653672286158,2.02,7,False,False,-100.0
2022-04-16,FLA,WPG,UNDER,7.0,0.546410722486482,0.5363023028820886,0.01010841960439346,1.010841960439346,1.819,7,False,True,0.0
2022-04-16,MTL,NYI,OVER,5.5,0.5282794263623107,0.5192862929190121,0.008993133443298662,0.8993133443298662,1.877,3,False,False,-100.0
2022-04-17,PHI,BUF,UNDER,6.5,0.5879675256663304,0.5395169165529186,0.04845060911341181,4.845060911341181,1.806,8,False,False,-100.0
2022-04-17,DET,FLA,OVER,7.0,0.5722837237111024,0.540584371705814,0.031699352005288395,3.1699352005288395,1.806,7,False,True,0.0
2022-04-17,LAK,CBJ,UNDER,6.5,0.5275540835437305,0.48814062355083254,0.039413459992897915,3.9413459992897915,1.99,3,True,False,99.0
2022-04-17,SEA,NJD,UNDER,6.5,0.5405908149717054,0.5192862929190121,0.021304522052693287,2.1304522052693287,1.877,7,False,False,-100.0
2022-04-17,CGY,ARI,UNDER,6.0,0.5414946976664649,0.46315808975077466,0.07833660791569019,7.833660791569019,2.09,10,False,False,-100.0
2022-04-17,COL,CAR,UNDER,6.0,0.7053606586311649,0.5158414922262687,0.1895191664048962,18.951916640489618,1.884,11,False,False,-100.0
2022-04-17,DAL,SJS,UNDER,5.5,0.5086763589653449,0.46408665426008344,0.04458970470526147,4.458970470526147,2.09,3,True,False,108.99999999999999
2022-04-17,OTT,TOR,UNDER,6.5,0.49695448962731914,0.46855306129142593,0.02840142833589321,2.840142833589321,2.07,9,False,False,-100.0
2022-04-17,BUF,PHI,UNDER,6.0,0.585708127644119,0.46974159514850883,0.11596653249561012,11.596653249561012,2.06,7,False,False,-100.0
2022-04-17,TBL,WPG,UNDER,6.0,0.6216015229715881,0.46855306129142593,0.15304846168016217,15.304846168016217,2.07,11,False,False,-100.0
2022-04-17,MTL,WSH,OVER,6.5,0.5246972417061659,0.4906843574733681,0.03401288423279786,3.4012884232797855,1.98,12,True,False,98.0
